"Title","href","Type","Area","Msg","Price"
"🔥鉑斯🔥大安站✔四維公園✔採光優溫馨","https://rent.591.com.tw/rent-detail-11246085.html","分租套房   |  10坪   |  樓層：頂樓加蓋/4","大安區-四維路154巷","仲介值班人員/23小時內更新/30人瀏覽","15,000 元/月"
"忠孝復興站7分電梯共居分套","https://rent.591.com.tw/rent-detail-11239023.html","分租套房   |  6坪   |  樓層：6/6","松山區-八德路二段366巷","仲介阮小姐/23小時內更新/14人瀏覽","12,000 元/月"
"🔥鉑斯國際🔥南京復興✿精緻套房✿靜巷","https://rent.591.com.tw/rent-detail-11241294.html","分租套房   |  9坪   |  樓層：3/4","松山區-南京東路三段256巷","仲介值班人員/23小時內更新/22人瀏覽","15,000 元/月"
"民生社區、共用廚房/洗衣、大空間","https://rent.591.com.tw/rent-detail-11279360.html","分租套房   |  6坪   |  樓層：4/4","松山區-撫遠街261巷","仲介吳先生/23小時內更新/45人瀏覽","11,500 元/月"
"現代大廈分租套房","https://rent.591.com.tw/rent-detail-11269640.html","分租套房   |  9坪   |  樓層：11/12","松山區-南京東路四段","仲介郭先生/23小時內更新/28人瀏覽","15,000 元/月"
"🍊南京三民即可入住女生宿舍近民生社區","https://rent.591.com.tw/rent-detail-11257305.html","分租套房   |  6坪   |  樓層：頂樓加蓋/4","松山區-三民路110巷","仲介湯小姐/24小時內更新/23人瀏覽","12,500 元/月"
"捷運東門套房(限女性)","https://rent.591.com.tw/rent-detail-11207956.html","分租套房   |  3.2坪   |  樓層：2/5","大安區-金山南路二段","屋主林小姐/24小時內更新/87人瀏覽","8,600 元/月"
"科技大樓站分租套房","https://rent.591.com.tw/rent-detail-11161903.html","分租套房   |  4坪   |  樓層：3/4","大安區-和平東路二段118巷","仲介胡小姐/24小時內更新/45人瀏覽","9,500 元/月"
"松山站採光通風良好套房","https://rent.591.com.tw/rent-detail-11262130.html","分租套房   |  8坪   |  樓層：10/12","松山區-八德路四段453巷","仲介戴小姐/24小時內更新/24人瀏覽","14,000 元/月"
"南京三民站超值分租套房","https://rent.591.com.tw/rent-detail-11184710.html","分租套房   |  5坪   |  樓層：4/11","松山區-寶清街","仲介戴小姐/24小時內更新/67人瀏覽","9,000 元/月"
"物超所值~採光明亮👍乾淨優質的美套房","https://rent.591.com.tw/rent-detail-11259156.html","分租套房   |  6坪   |  樓層：頂樓加蓋/4","松山區-撫遠街249巷","仲介徐小姐/24小時內更新/25人瀏覽","10,600 元/月"
"三民站精緻套房0932396139榮r","https://rent.591.com.tw/rent-detail-11222511.html","分租套房   |  5坪   |  樓層：3/12","松山區-南京東路五段","仲介趙先生/24小時內更新/13人瀏覽","12,800 元/月"
"台視旁靜巷~空間寬敞~大陽台","https://rent.591.com.tw/rent-detail-11077293.html","分租套房   |  8坪   |  樓層：頂樓加蓋/4","松山區-八德路三段12巷","仲介李先生/24小時內更新/1條問答/52人瀏覽","10,000 元/月"
"三民捷運優質套房0932396139趙r","https://rent.591.com.tw/rent-detail-11222524.html","分租套房   |  5坪   |  樓層：3/12","松山區-南京東路五段","仲介趙先生/24小時內更新/16人瀏覽","11,800 元/月"
"台視旁靜巷/空間寬敞/大陽台","https://rent.591.com.tw/rent-detail-11103328.html","分租套房   |  8坪   |  樓層：頂樓加蓋/4","松山區-八德路三段12巷","仲介李先生/24小時內更新/34人瀏覽","10,000 元/月"
"忠孝商圈套房","https://rent.591.com.tw/rent-detail-11164284.html","分租套房   |  7坪   |  樓層：2/4","大安區-延吉街","屋主江小姐/昨日更新/11人瀏覽","11,500 元/月"
"師大路靜巷公寓分租套房","https://rent.591.com.tw/rent-detail-11264969.html","分租套房   |  10坪   |  樓層：4/4","大安區-師大路86巷","仲介黃先生/昨日更新/28人瀏覽","13,000 元/月"
"南京三民家庭式大套房獨立洗衣機","https://rent.591.com.tw/rent-detail-11152842.html","分租套房   |  8坪   |  樓層：4/4","松山區-南京東路五段389巷","代理人羅先生/昨日更新/41人瀏覽","12,800 元/月"
"台.師大/台電大樓/師大夜市/和平東路","https://rent.591.com.tw/rent-detail-11245282.html","分租套房   |  4坪   |  樓層：1/4","大安區-泰順街16巷","仲介陳先生/昨日更新/15人瀏覽","15,000 元/月"
"民生社區全新家具家電撫遠街8500元套房","https://rent.591.com.tw/rent-detail-11270136.html","分租套房   |  5坪   |  樓層：4/4","松山區-撫遠街367巷","屋主陳媽媽/昨日更新/82人瀏覽","8,500 元/月"
"設備齊全交通便利二樓輕鬆","https://rent.591.com.tw/rent-detail-11261880.html","分租套房   |  6.8坪   |  樓層：2/4","松山區-八德路二段","屋主詹先生/昨日更新/38人瀏覽","9,200 元/月"
"忠孝復興、採光、溫馨、機能強","https://rent.591.com.tw/rent-detail-11270306.html","分租套房   |  4坪   |  樓層：2/4","大安區-忠孝東路三段276巷","仲介吳先生/昨日更新/19人瀏覽","14,000 元/月"
"信義安和/全聯/地段絕佳/採光/寵物友善","https://rent.591.com.tw/rent-detail-11258238.html","分租套房   |  7坪   |  樓層：4/4","大安區-敦化南路二段81巷","仲介吳先生/昨日更新/46人瀏覽","11,000 元/月"
"民生社區、機能強、獨立洗/曬、台電","https://rent.591.com.tw/rent-detail-11271736.html","分租套房   |  4坪   |  樓層：4/4","松山區-富錦街","仲介吳先生/昨日更新/50人瀏覽","9,899 元/月"
"南京三民2樓套房有窗可寵，共炊，垃圾代收","https://rent.591.com.tw/rent-detail-11219784.html","分租套房   |  7坪   |  樓層：2/5","松山區-八德路四段204巷","仲介沈先生/昨日更新/44人瀏覽","12,000 元/月"
"近師大永康街新套房NTNUstudio","https://rent.591.com.tw/rent-detail-11257042.html","分租套房   |  6坪   |  樓層：2/5","大安區-泰順街","屋主方先生/昨日更新/1條問答/60人瀏覽","13,000 元/月"
"[大家房屋]小巨蛋套房","https://rent.591.com.tw/rent-detail-11152674.html","分租套房   |  7坪   |  樓層：2/3","松山區-八德路三段","仲介陳先生/昨日更新/16人瀏覽","11,000 元/月"
"捷運忠孝復興SOGO忠孝商圈限女生","https://rent.591.com.tw/rent-detail-11242117.html","分租套房   |  5坪   |  樓層：4/5","大安區-大安路一段51巷","屋主蘇小姐/昨日更新/26人瀏覽","9,000 元/月"
"捷運忠孝復興站sogo百貨商圈/限女生","https://rent.591.com.tw/rent-detail-11242105.html","分租套房   |  8坪   |  樓層：4/4","大安區-大安路一段51巷7號","屋主蘇小姐/昨日更新/14人瀏覽","14,000 元/月"
"捷運忠孝復興SoGo商圈限女生","https://rent.591.com.tw/rent-detail-11242093.html","分租套房   |  7坪   |  樓層：5/5","大安區-大安路一段51巷","屋主蘇小姐/昨日更新/1條問答/26人瀏覽","10,000 元/月"
"大厕所東門捷運永康公園加大單人床套房","https://rent.591.com.tw/rent-detail-11273178.html","分租套房   |  3坪   |  樓層：4/5","大安區-永康街","代理人李小姐/昨日更新/143人瀏覽","8,000 元/月"
"師大限單身女姓套房","https://rent.591.com.tw/rent-detail-11250263.html","分租套房   |  6坪   |  樓層：2/4","大安區-泰順街40巷","仲介王先生/2天前更新/43人瀏覽","10,000 元/月"
"近忠孝敦化站/獨立陽台/有垃圾代收","https://rent.591.com.tw/rent-detail-11237432.html","分租套房   |  5坪   |  樓層：6/7","大安區-仁愛路四段345巷","仲介劉先生/2天前更新/11人瀏覽","13,500 元/月"
"近忠孝敦化站/東區便宜套房/垃圾代收","https://rent.591.com.tw/rent-detail-11251246.html","分租套房   |  5坪   |  樓層：6/7","大安區-仁愛路四段345巷","仲介劉先生/2天前更新/12人瀏覽","12,500 元/月"
"仁愛圓環大安站套房","https://rent.591.com.tw/rent-detail-11269627.html","分租套房   |  7坪   |  樓層：4/4","大安區-四維路52巷","屋主林小姐/2天前更新/57人瀏覽","10,000 元/月"
"~南京三民站旁~分租套房","https://rent.591.com.tw/rent-detail-11277116.html","分租套房   |  4坪   |  樓層：2/2","松山區-南京東路五段291巷20弄20號","仲介陳先生/2天前更新/119人瀏覽","10,000 元/月"
"3分鐘到大安捷運雅緻大套房","https://rent.591.com.tw/rent-detail-11189205.html","分租套房   |  6坪   |  樓層：1/3","大安區-信義路四段30巷","屋主陳太太/2天前更新/21人瀏覽","10,500 元/月"
"🍊民生社區【限女溫馨頂加美套房】","https://rent.591.com.tw/rent-detail-11246800.html","分租套房   |  6坪   |  樓層：頂樓加蓋/4","松山區-三民路110巷","仲介彭先生/2天前更新/17人瀏覽","12,500 元/月"
"忠孝復興微風廣場旁優質電梯套房","https://rent.591.com.tw/rent-detail-11239595.html","分租套房   |  6.5坪   |  樓層：6/6","松山區-八德路二段366巷67號","屋主戴先生/2天前更新/24人瀏覽","11,000 元/月"
"古亭捷步3分鐘乾濕分離超大木工衣櫃","https://rent.591.com.tw/rent-detail-11259228.html","分租套房   |  4坪   |  樓層：1/12","大安區-羅斯福路二段","代理人陳小姐/2天前更新/79人瀏覽","8,500 元/月"
"A395大安雲和街套房享富安居","https://rent.591.com.tw/rent-detail-11149086.html","分租套房   |  6坪   |  樓層：4/5","大安區-雲和街","仲介楊小姐/2天前更新/17人瀏覽","9,800 元/月"
"A395台電大樓捷運5分鐘美套房","https://rent.591.com.tw/rent-detail-11149026.html","分租套房   |  5坪   |  樓層：4/5","大安區-雲和街","仲介楊小姐/2天前更新/19人瀏覽","9,800 元/月"
"美樂*師大商圈*分租小資套房*戶數單純*","https://rent.591.com.tw/rent-detail-11254031.html","分租套房   |  3.9坪   |  樓層：頂樓加蓋/4","大安區-泰順街","仲介詹先生/2天前更新/34人瀏覽","11,000 元/月"
"通化商圈套房","https://rent.591.com.tw/rent-detail-11236158.html","分租套房   |  8坪   |  樓層：4/5","大安區-通化街39巷","屋主陳小姐/3天前更新/36人瀏覽","14,000 元/月"
"屋主自租電梯大樓冷氣套房-捷運松山線","https://rent.591.com.tw/rent-detail-11210201.html","分租套房   |  3坪   |  樓層：7/12","松山區-基隆路一段","屋主王小姐/3天前更新/22人瀏覽","9,500 元/月"
"中山國中站套房出租，近大直內湖松山機場","https://rent.591.com.tw/rent-detail-11204720.html","分租套房   |  5坪   |  樓層：4/4","松山區-復興北路463號","屋主周先生/3天前更新/37人瀏覽","8,300 元/月"
"南京三民❤️溫馨套房水泥牆~女生佳-喆寓","https://rent.591.com.tw/rent-detail-11247477.html","分租套房   |  6坪   |  樓層：頂樓加蓋/4","松山區-三民路110巷","仲介陳小姐/3天前更新/26人瀏覽","12,500 元/月"
"分租套房出租","https://rent.591.com.tw/rent-detail-11271223.html","分租套房   |  5坪   |  樓層：4/5","松山區-光復北路","屋主李先生/3天前更新/11人瀏覽","13,500 元/月"
"民生生活圈方便套房","https://rent.591.com.tw/rent-detail-11249038.html","分租套房   |  7坪   |  樓層：2/4","松山區-富錦街","仲介王維君/3天前更新/20人瀏覽","11,500 元/月"
"民生生活圈方便套房","https://rent.591.com.tw/rent-detail-11249042.html","分租套房   |  7坪   |  樓層：2/4","松山區-新東街41巷2號","仲介王小姐/3天前更新/13人瀏覽","13,000 元/月"
"非頂加(靠近台大.台科大)","https://rent.591.com.tw/rent-detail-11264387.html","分租套房   |  6坪   |  樓層：5/5","大安區-安居街117號","屋主張先生/3天前更新/2條問答/111人瀏覽","8,900 元/月"
"忠孝SOGO美套/近捷運安靜/垃圾有人收","https://rent.591.com.tw/rent-detail-11269874.html","分租套房   |  6坪   |  樓層：2/4","大安區-大安路一段31巷","仲介李先生/3天前更新/35人瀏覽","12,000 元/月"
"已收訂。捷運3分鐘、設備齊全~馬上入住!","https://rent.591.com.tw/rent-detail-11260106.html","分租套房   |  5坪   |  樓層：4/5","大安區-和平東路三段","代理人許先生/3天前更新/35人瀏覽","13,500 元/月"
"近大安森林公園套房/內含傢俱/有對外窗","https://rent.591.com.tw/rent-detail-11143854.html","分租套房   |  5坪   |  樓層：3/4","大安區-和平東路二段","仲介王小姐/4天前更新/21人瀏覽","13,000 元/月"
"近國父紀念館捷運，華視，優質分租美套房","https://rent.591.com.tw/rent-detail-11151685.html","分租套房   |  7坪   |  樓層：5/5","大安區-延吉街97巷","仲介劉先生/4天前更新/19人瀏覽","11,500 元/月"
"忠孝復興採光靜套房","https://rent.591.com.tw/rent-detail-11266321.html","分租套房   |  6坪   |  樓層：4/4","大安區-忠孝東路三段251巷","代理人何先生/4天前更新/39人瀏覽","12,000 元/月"
"A138師大套房","https://rent.591.com.tw/rent-detail-11149457.html","分租套房   |  5坪   |  樓層：4/5","大安區-雲和街","仲介楊小姐/4天前更新/22人瀏覽","9,500 元/月"
"精美套房離古亭捷運5分鐘限女性","https://rent.591.com.tw/rent-detail-11250406.html","分租套房   |  6坪   |  樓層：5/7","大安區-潮州街","屋主楊小姐/4天前更新/1條問答/39人瀏覽","10,000 元/月"
"微風廣場精美套房出租","https://rent.591.com.tw/rent-detail-11136982.html","分租套房   |  4坪   |  樓層：3/3","松山區-八德路二段410巷6號","仲介詹先生/4天前更新/15人瀏覽","12,000 元/月"
"已收訂走道窗無對外窗大套房有後陽台可曬衣","https://rent.591.com.tw/rent-detail-11201315.html","分租套房   |  7坪   |  樓層：2/4","松山區-八德路三段158巷14號","仲介蔡先生/4天前更新/20人瀏覽","10,000 元/月"
"北市東區優質套房(近華視)大曬衣陽台","https://rent.591.com.tw/rent-detail-11223213.html","分租套房   |  9坪   |  樓層：3/4","松山區-光復南路66巷","屋主黃小姐/5天前更新/33人瀏覽","13,000 元/月"
"忠孝敦化捷運*仁愛敦南黃金地段*電梯套房","https://rent.591.com.tw/rent-detail-11146529.html","分租套房   |  13坪   |  樓層：4/7","大安區-敦化南路一段247巷","仲介孫媽媽/5天前更新/24人瀏覽","14,000 元/月"
"南京復興站1分新裝潢獨立陽台美景公園","https://rent.591.com.tw/rent-detail-11222510.html","分租套房   |  12坪   |  樓層：7/7","松山區-南京東路三段303巷","屋主何小姐/5天前更新/21人瀏覽","14,800 元/月"
"三民捷運站一樓套房","https://rent.591.com.tw/rent-detail-11254334.html","分租套房   |  6坪   |  樓層：1/7","松山區-南京東路五段291巷","仲介廖先生/5天前更新/25人瀏覽","11,000 元/月"
"A275師大最便宜套房CP值最高只有一間","https://rent.591.com.tw/rent-detail-11149357.html","分租套房   |  6坪   |  樓層：4/5","大安區-雲和街","仲介享富嘉玉/5天前更新/24人瀏覽","9,200 元/月"
"享富安居A275師大旁交通佳溫馨套房","https://rent.591.com.tw/rent-detail-11149415.html","分租套房   |  6坪   |  樓層：4/5","大安區-雲和街","仲介楊小姐/5天前更新/24人瀏覽","9,000 元/月"
"雙捷運臨師大校園景觀佳生活機能超優","https://rent.591.com.tw/rent-detail-11127091.html","分租套房   |  6坪   |  樓層：5/6","大安區-師大路80巷","屋主黃小姐/5天前更新/1條問答/34人瀏覽","13,000 元/月"
"邊間近捷運套房","https://rent.591.com.tw/rent-detail-11159037.html","分租套房   |  7坪   |  樓層：4/5","松山區-饒河街","屋主彭小姐/5天前更新/45人瀏覽","8,800 元/月"
"師大優質套房(限女性)","https://rent.591.com.tw/rent-detail-11258862.html","分租套房   |  6坪   |  樓層：3/4","大安區-師大路39巷8號","屋主呂先生/6天前更新/42人瀏覽","9,500 元/月"
"近捷運站上下班方便，安靜又安全的環境","https://rent.591.com.tw/rent-detail-11257771.html","分租套房   |  7坪   |  樓層：3/9","大安區-光復南路446號","代理人張小姐/6天前更新/29人瀏覽","11,000 元/月"
"南京三民捷運站全新套凱基銀行旁","https://rent.591.com.tw/rent-detail-11253187.html","分租套房   |  7坪   |  樓層：4/4","松山區-南京東路五段123巷","代理人廖先生/6天前更新/1條問答/39人瀏覽","11,000 元/月"
"松山區民生東路4段分租套房","https://rent.591.com.tw/rent-detail-11144682.html","分租套房   |  8坪   |  樓層：4/4","松山區-民生東路四段101號","仲介吳小姐/6天前更新/17人瀏覽","15,000 元/月"
"國父紀念館分租美套中信潘于倫","https://rent.591.com.tw/rent-detail-11257226.html","分租套房   |  7坪   |  樓層：5/5","大安區-延吉街97巷20號","仲介潘先生/6天前更新/16人瀏覽","11,500 元/月"
"微風廣場旁精緻亮麗套房預租從速！","https://rent.591.com.tw/rent-detail-11172402.html","分租套房   |  7坪   |  樓層：6/10","松山區-復興南路一段","仲介謝先生/6天前更新/31人瀏覽","13,000 元/月"
"敦北長庚醫院明志台塑大樓分租套房","https://rent.591.com.tw/rent-detail-11185838.html","分租套房   |  9坪   |  樓層：4/4","松山區-民生東路四段","屋主羅先生/6天前更新/20人瀏覽","14,500 元/月"
"近東區優質套房。下樓即綠地","https://rent.591.com.tw/rent-detail-11256609.html","分租套房   |  3.5坪   |  樓層：3/4","松山區-八德路四段106巷","代理人郭先生/6天前更新/14人瀏覽","10,500 元/月"
"微風廣場靜巷美套房","https://rent.591.com.tw/rent-detail-11253968.html","分租套房   |  5坪   |  樓層：4/4","松山區-敦化南路一段100巷","代理人陳先生/7天前更新/14人瀏覽","15,000 元/月"
"裝潢大套房~設有廚房,洗衣機~半地下","https://rent.591.com.tw/rent-detail-11253936.html","分租套房   |  8坪   |  樓層：B1/6","大安區-泰順街26巷39號","仲介增先生/7天前更新/21人瀏覽","14,500 元/月"
"捷運忠孝復興站優質套房微風與SOGO百貨","https://rent.591.com.tw/rent-detail-11249071.html","分租套房   |  6坪   |  樓層：2/5","大安區-市民大道四段","屋主吳先生/8天前更新/15人瀏覽","11,500 元/月"
"松山捷運美套房","https://rent.591.com.tw/rent-detail-11249069.html","分租套房   |  8坪   |  樓層：5/5","松山區-饒河街","仲介蔡先生/8天前更新/24人瀏覽","11,500 元/月"
"八德路.1房1衛電梯家具全一卡皮箱可入住","https://rent.591.com.tw/rent-detail-11246547.html","分租套房   |  6坪   |  樓層：6/6","松山區-八德路二段366巷","仲介杜先生/8天前更新/20人瀏覽","12,000 元/月"
"忠孝敦化捷運美套/免追垃圾車/住戶素質高","https://rent.591.com.tw/rent-detail-11220467.html","分租套房   |  6坪   |  樓層：2/4","大安區-大安路一段31巷","仲介李先生/10天前更新/12人瀏覽","12,000 元/月"
"忠孝敦化捷運美套/免追垃圾車/住戶素質高","https://rent.591.com.tw/rent-detail-11230746.html","分租套房   |  6坪   |  樓層：2/4","大安區-大安路一段31巷","仲介李先生/10天前更新/9人瀏覽","12,200 元/月"
"知足常樂★仙境：限女生／新裝潢美妝套房","https://rent.591.com.tw/rent-detail-11235390.html","分租套房   |  6坪   |  樓層：3/4","大安區-樂業街94巷","仲介鯨魚租屋/10天前更新/31人瀏覽","9,999 元/月"
"近臺大師大套房","https://rent.591.com.tw/rent-detail-11233662.html","分租套房   |  6坪   |  樓層：頂樓加蓋/4","大安區-泰順街38巷","屋主曾先生/11天前更新/59人瀏覽","9,000 元/月"
"近市政府信義商圈饒河夜市","https://rent.591.com.tw/rent-detail-11147169.html","分租套房   |  6坪   |  樓層：3/10","松山區-基隆路一段32號","屋主黃先生/11天前更新/1條問答/40人瀏覽","12,000 元/月"
"近捷運小巨蛋站/新裝潢套房/生活機能方便","https://rent.591.com.tw/rent-detail-11229895.html","分租套房   |  9坪   |  樓層：4/4","松山區-八德路三段99巷","代理人王小姐/11天前更新/26人瀏覽","12,000 元/月"
"~南京三民站旁~套房","https://rent.591.com.tw/rent-detail-11224925.html","分租套房   |  4坪   |  樓層：2/2","松山區-南京東路五段291巷20弄20號","仲介陳先生/12天前更新/40人瀏覽","10,000 元/月"
"一卡皮箱即可入住","https://rent.591.com.tw/rent-detail-11219408.html","分租套房   |  開放式格局   |  8坪   |  樓層：2/4","松山區-南京東路四段53巷","代理人王太太/13天前更新/1條問答/21人瀏覽","15,000 元/月"
"大安區通化街雙捷運便宜套房只要8500元","https://rent.591.com.tw/rent-detail-11162505.html","分租套房   |  6坪   |  樓層：2/5","大安區-通化街203巷","屋主曾先生/14天前更新/39人瀏覽","8,500 元/月"
"近捷運.夜市.市場.學校.公車站","https://rent.591.com.tw/rent-detail-11217606.html","分租套房   |  6坪   |  樓層：3/4","大安區-泰順街60巷","屋主吳先生/14天前更新/22人瀏覽","12,000 元/月"
"全女子近六張犁捷運站便宜套房8500元","https://rent.591.com.tw/rent-detail-11206609.html","分租套房   |  5坪   |  樓層：2/4","大安區-富陽街14號","屋主沈先生/16天前更新/41人瀏覽","8,500 元/月"
"溫馨小套房~近微風、SOGO忠孝","https://rent.591.com.tw/rent-detail-11205879.html","分租套房   |  6坪   |  樓層：3/5","大安區-復興南路一段79巷","屋主鍾小姐/16天前更新/15人瀏覽","13,650 元/月"
"敦化北路優質套房,設備全,環境優","https://rent.591.com.tw/rent-detail-11201078.html","分租套房   |  8坪   |  樓層：頂樓加蓋/4","松山區-敦化北路145巷","仲介葉小姐/17天前更新/18人瀏覽","10,800 元/月"
"仁愛路四段高級地段,優質套房,輕鬆入住","https://rent.591.com.tw/rent-detail-11193216.html","分租套房   |  6坪   |  樓層：2/7","大安區-仁愛路四段266巷","屋主吳太太/17天前更新/1條問答/71人瀏覽","10,000 元/月"
"台大分租美套房#共用廚房#陽台#捷運","https://rent.591.com.tw/rent-detail-11200105.html","分租套房   |  5坪   |  樓層：4/4","大安區-和平東路二段118巷","仲介許先生/17天前更新/38人瀏覽","10,500 元/月"
"6-5樓-生活好機能.交通便捷可短租","https://rent.591.com.tw/rent-detail-11195041.html","分租套房   |  8坪   |  樓層：6/7","大安區-樂利路42巷2號","代理人梁小姐/18天前更新/1條問答/17人瀏覽","15,000 元/月"
"大套房,可住兩人，限女性","https://rent.591.com.tw/rent-detail-11193610.html","分租套房   |  7坪   |  樓層：5/6","大安區-安和路二段23巷","屋主張先生/19天前更新/1條問答/19人瀏覽","13,000 元/月"
"光復南路華廈美套房","https://rent.591.com.tw/rent-detail-11144425.html","分租套房   |  6坪   |  樓層：2/6","松山區-光復南路58巷","代理人宋小姐/21天前更新/4條問答/26人瀏覽","13,000 元/月"
"光復南路優質美房","https://rent.591.com.tw/rent-detail-11184230.html","分租套房   |  4坪   |  樓層：2/6","松山區-光復南路58巷","代理人宋小姐/21天前更新/9條問答/79人瀏覽","8,500 元/月"
"科技大樓站步行五分鐘#靜巷#公園","https://rent.591.com.tw/rent-detail-11174934.html","分租套房   |  8坪   |  樓層：1/7","大安區-和平東路二段107巷11弄14號","代理人楊先生/23天前更新/1條問答/37人瀏覽","11,000 元/月"
"忠孝敦化高CP套房採光好超便利","https://rent.591.com.tw/rent-detail-11144328.html","分租套房   |  5坪   |  樓層：4/4","大安區-忠孝東路四段223巷34弄5號","屋主黃先生/24天前更新/12人瀏覽","14,000 元/月"
"大安最低價☆捷運正出口","https://rent.591.com.tw/rent-detail-11154996.html","分租套房   |  5坪   |  樓層：5/5","大安區-和平東路三段","代理人宋小姐/25天前更新/62人瀏覽","8,700 元/月"
"【小資套房】採光佳設備齊全拎包即可入住","https://rent.591.com.tw/rent-detail-11165500.html","分租套房   |  3坪   |  樓層：頂樓加蓋/4","松山區-光復南路17巷","代理人趙小姐/25天前更新/27人瀏覽","10,000 元/月"
"舒適雙人床近師大台電大樓捷運有2間","https://rent.591.com.tw/rent-detail-11154154.html","分租套房   |  15坪   |  樓層：5/5","大安區-泰順街50巷27弄27號","代理人張先生/28天前更新/1條問答/76人瀏覽","10,800 元/月"
"近台視小巨蛋中崙市場~請六、日來電看房~","https://rent.591.com.tw/rent-detail-11151344.html","分租套房   |  7坪   |  樓層：4/4","松山區-八德路三段12巷","屋主林小姐/29天前更新/25人瀏覽","10,000 元/月"
"敦北145巷套房","https://rent.591.com.tw/rent-detail-11131040.html","分租套房   |  5坪   |  樓層：2/4","松山區-敦化北路145巷","代理人賴先生/32天前更新/14人瀏覽","11,000 元/月"
